Blender 4.0.2
Fra:1 Mem:24.38M (Peak 24.38M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_1
Fra:1 Mem:24.71M (Peak 24.71M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lavabo_2_Pia
Fra:1 Mem:24.71M (Peak 24.71M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bancada_Base
Fra:1 Mem:24.72M (Peak 24.72M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bancada_Tampo_Sul
Fra:1 Mem:24.72M (Peak 24.72M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bancada_Tampo_Norte
Fra:1 Mem:24.72M (Peak 24.72M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bancada_Pia_Cuba
Fra:1 Mem:24.72M (Peak 24.72M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bancada_Pia_Bico_Torneira
Fra:1 Mem:24.72M (Peak 24.72M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Churrasqueira_Corpo
Fra:1 Mem:24.73M (Peak 24.73M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Churrasqueira_Barra_1
Fra:1 Mem:24.74M (Peak 24.74M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Churrasqueira_Barra_2
Fra:1 Mem:24.74M (Peak 24.74M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Churrasqueira_Barra_5
Fra:1 Mem:24.74M (Peak 24.74M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Churrasqueira_Barra_6
Fra:1 Mem:24.75M (Peak 24.75M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Churrasqueira_Brasa
Fra:1 Mem:24.75M (Peak 24.75M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Churrasqueira_Chamine
Fra:1 Mem:24.75M (Peak 24.75M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mesa_Pe_-1_-1
Fra:1 Mem:24.75M (Peak 24.75M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mesa_Pe_-1_1
Fra:1 Mem:24.75M (Peak 24.75M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mesa_Pe_1_-1
Fra:1 Mem:24.75M (Peak 24.75M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mesa_Pe_1_1
Fra:1 Mem:24.76M (Peak 24.76M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banco_Oeste_Assento
Fra:1 Mem:24.76M (Peak 24.76M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banco_Oeste_Pe_-1
Fra:1 Mem:24.76M (Peak 24.76M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banco_Oeste_Pe_1
Fra:1 Mem:24.76M (Peak 24.76M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banco_Leste_Assento
Fra:1 Mem:24.77M (Peak 24.77M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terca_Leste_X4
Fra:1 Mem:24.77M (Peak 24.77M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banco_Leste_Pe_1
Fra:1 Mem:24.77M (Peak 24.77M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Parede_Sul_1_2
Fra:1 Mem:24.78M (Peak 24.78M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Parede_Leste_2_3
Fra:1 Mem:24.78M (Peak 24.78M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Parede_Leste_3_4
Fra:1 Mem:24.78M (Peak 24.78M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Parede_Leste_4_5
Fra:1 Mem:24.78M (Peak 24.78M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sala_Tapete
Fra:1 Mem:24.78M (Peak 24.78M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Sul_Assento
Fra:1 Mem:24.78M (Peak 24.78M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Sul_Encosto
Fra:1 Mem:24.79M (Peak 24.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Sul_Braco_-1
Fra:1 Mem:24.79M (Peak 24.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Sul_Braco_1
Fra:1 Mem:24.79M (Peak 24.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Sul_Pe_0_-1
Fra:1 Mem:24.79M (Peak 24.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Sul_Pe_0_1
Fra:1 Mem:24.79M (Peak 24.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Sul_Pe_1_1
Fra:1 Mem:24.79M (Peak 24.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Norte_Assento
Fra:1 Mem:24.79M (Peak 24.79M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Norte_Encosto
Fra:1 Mem:24.80M (Peak 24.80M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Norte_Braco_-1
Fra:1 Mem:24.80M (Peak 24.80M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Norte_Braco_1
Fra:1 Mem:24.80M (Peak 24.80M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terca_Central_X2
Fra:1 Mem:24.80M (Peak 24.80M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Norte_Pe_0_-1
Fra:1 Mem:24.81M (Peak 24.81M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Norte_Pe_0_1
Fra:1 Mem:24.81M (Peak 24.81M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Norte_Pe_1_-1
Fra:1 Mem:24.81M (Peak 24.81M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sofa_Norte_Pe_1_1
Fra:1 Mem:24.81M (Peak 24.81M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mesa_Centro_Tampo
Fra:1 Mem:24.81M (Peak 24.81M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mesa_Centro_Pe_-1_-1
Fra:1 Mem:24.81M (Peak 24.81M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mesa_Centro_Pe_-1_1
Fra:1 Mem:24.82M (Peak 24.82M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mesa_Centro_Pe_1_-1
Fra:1 Mem:24.82M (Peak 24.82M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Mesa_Centro_Pe_1_1
Fra:1 Mem:24.82M (Peak 24.82M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_1_Coluna
Fra:1 Mem:24.82M (Peak 24.82M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_1_Banqueta_1_Assento
Fra:1 Mem:24.82M (Peak 24.82M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_1_Banqueta_1_Coluna
Fra:1 Mem:24.83M (Peak 24.83M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_1_Banqueta_2_Assento
Fra:1 Mem:24.84M (Peak 24.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_1_Banqueta_2_Coluna
Fra:1 Mem:24.84M (Peak 24.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_2_Tampo
Fra:1 Mem:24.84M (Peak 24.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_1_Banqueta_2_Base
Fra:1 Mem:24.85M (Peak 24.85M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_2_Coluna
Fra:1 Mem:24.85M (Peak 24.85M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_2_Base
Fra:1 Mem:24.85M (Peak 24.85M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_2_Banqueta_1_Coluna
Fra:1 Mem:24.86M (Peak 24.86M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_2_Banqueta_1_Base
Fra:1 Mem:24.86M (Peak 24.86M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_2_Banqueta_2_Assento
Fra:1 Mem:24.86M (Peak 24.86M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_2_Banqueta_2_Coluna
Fra:1 Mem:24.87M (Peak 24.87M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | MesaBar_2_Banqueta_2_Base
Fra:1 Mem:24.88M (Peak 24.88M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Geladeira_Linha_Divisoria
Fra:1 Mem:24.88M (Peak 24.88M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Geladeira_Puxador_2
Fra:1 Mem:24.89M (Peak 24.89M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fogao_Cooktop
Fra:1 Mem:24.89M (Peak 24.89M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terca_Oeste_X0
Fra:1 Mem:24.89M (Peak 24.89M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fogao_Boca_0_0
Fra:1 Mem:24.89M (Peak 24.89M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fogao_Boca_0_1
Fra:1 Mem:24.90M (Peak 24.90M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fogao_Boca_1_0
Fra:1 Mem:24.91M (Peak 24.91M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Fogao_Boca_1_1
Fra:1 Mem:24.91M (Peak 24.91M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TV_Suporte
Fra:1 Mem:24.91M (Peak 24.91M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TV_Moldura
Fra:1 Mem:24.92M (Peak 24.92M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TV_Tela
Fra:1 Mem:24.92M (Peak 24.92M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Montante_P2
Fra:1 Mem:24.93M (Peak 24.93M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Montante_P4
Fra:1 Mem:24.93M (Peak 24.93M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Montante_P5
Fra:1 Mem:24.94M (Peak 24.94M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Viga_Transv_Y0
Fra:1 Mem:24.95M (Peak 24.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Viga_Transv_Y4
Fra:1 Mem:24.95M (Peak 24.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Viga_Transv_Y12
Fra:1 Mem:24.95M (Peak 24.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Viga_Transv_Ala_Y9_5
Fra:1 Mem:24.96M (Peak 24.96M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Viga_Transv_Ala_Y12
Fra:1 Mem:25.01M (Peak 25.01M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:18.85M (Peak 25.01M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:18.85M (Peak 25.01M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:18.85M (Peak 25.01M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:18.85M (Peak 25.01M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:18.95M (Peak 25.01M) | Time:00:00.03 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:18.95M (Peak 25.01M) | Time:00:00.03 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Background
Fra:1 Mem:18.95M (Peak 25.01M) | Time:00:00.03 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:18.95M (Peak 25.01M) | Time:00:00.03 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:18.95M (Peak 25.01M) | Time:00:00.03 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:18.95M (Peak 25.01M) | Time:00:00.03 | Mem:0.02M, Peak:0.02M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:18.99M (Peak 25.01M) | Time:00:00.03 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:18.99M (Peak 25.01M) | Time:00:00.03 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:18.99M (Peak 25.01M) | Time:00:00.03 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:18.99M (Peak 25.01M) | Time:00:00.03 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:19.15M (Peak 25.01M) | Time:00:00.03 | Mem:0.06M, Peak:0.06M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:19.25M (Peak 25.01M) | Time:00:00.03 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:19.22M (Peak 25.01M) | Time:00:00.03 | Mem:0.13M, Peak:0.13M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:19.22M (Peak 25.01M) | Time:00:00.03 | Mem:0.13M, Peak:0.13M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:19.22M (Peak 25.01M) | Time:00:00.03 | Mem:0.45M, Peak:0.45M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:19.22M (Peak 25.01M) | Time:00:00.03 | Mem:0.84M, Peak:1.16M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:19.22M (Peak 25.01M) | Time:00:00.03 | Mem:0.84M, Peak:1.16M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:19.59M (Peak 25.01M) | Time:00:00.03 | Mem:0.84M, Peak:1.16M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:19.59M (Peak 25.01M) | Time:00:00.03 | Mem:1.21M, Peak:1.21M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:19.59M (Peak 25.01M) | Time:00:00.03 | Mem:1.21M, Peak:1.21M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:19.60M (Peak 25.01M) | Time:00:00.03 | Mem:1.21M, Peak:1.21M | Scene, ViewLayer | Updating Images
Fra:1 Mem:19.60M (Peak 25.01M) | Time:00:00.03 | Mem:1.21M, Peak:1.21M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:19.60M (Peak 25.01M) | Time:00:00.03 | Mem:1.21M, Peak:1.21M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:19.60M (Peak 25.01M) | Time:00:00.03 | Mem:1.29M, Peak:1.29M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:19.60M (Peak 25.01M) | Time:00:00.03 | Mem:1.29M, Peak:1.29M | Scene, ViewLayer | Updating Lights | Computing distribution
Fra:1 Mem:19.60M (Peak 25.01M) | Time:00:00.03 | Mem:1.29M, Peak:1.29M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:19.60M (Peak 25.01M) | Time:00:00.03 | Mem:1.29M, Peak:1.29M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:21.60M (Peak 25.01M) | Time:00:00.03 | Mem:3.29M, Peak:3.29M | Scene, ViewLayer | Updating Film
Fra:1 Mem:21.60M (Peak 25.01M) | Time:00:00.03 | Mem:3.21M, Peak:3.29M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:21.60M (Peak 25.01M) | Time:00:00.03 | Mem:3.30M, Peak:3.30M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:21.60M (Peak 25.01M) | Time:00:00.04 | Mem:3.30M, Peak:3.30M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:21.61M (Peak 25.01M) | Time:00:00.04 | Mem:3.30M, Peak:3.30M | Scene, ViewLayer | Sample 0/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:00:00.89 | Remaining:04:16.66 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 1/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:00:26.36 | Remaining:03:33.01 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 33/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:00:51.87 | Remaining:03:07.41 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 65/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:03.71 | Remaining:02:55.11 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 80/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:05.93 | Remaining:02:20.02 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 96/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:05.02 | Remaining:01:49.08 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 112/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:06.79 | Remaining:01:29.70 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 128/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:08.52 | Remaining:01:14.18 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 144/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:09.95 | Remaining:01:01.17 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 160/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:11.38 | Remaining:00:50.26 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 176/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:12.85 | Remaining:00:40.95 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 192/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:14.08 | Remaining:00:32.75 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 208/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:15.23 | Remaining:00:25.51 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 224/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:16.53 | Remaining:00:19.12 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 240/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:17.91 | Remaining:00:13.38 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 256/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:19.02 | Remaining:00:08.13 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 272/300
Fra:1 Mem:92.85M (Peak 92.85M) | Time:01:20.14 | Remaining:00:03.33 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 288/300
Fra:1 Mem:124.49M (Peak 187.77M) | Time:01:21.28 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Sample 300/300
Fra:1 Mem:124.49M (Peak 187.77M) | Time:01:21.28 | Mem:74.49M, Peak:74.49M | Scene, ViewLayer | Finished
Saved: '/home/fac/piscina/V3/renders/projeto_render_15h.png'
Time: 01:21.80 (Saving: 00:00.48)

Fra:1 Mem:24.54M (Peak 24.54M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_1
Fra:1 Mem:24.54M (Peak 24.54M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_4
Fra:1 Mem:24.54M (Peak 24.54M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pilar_Eucalipto_5
Fra:1 Mem:24.55M (Peak 24.55M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_6
Fra:1 Mem:24.56M (Peak 24.56M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_7
Fra:1 Mem:24.56M (Peak 24.56M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pilar_Eucalipto_7
Fra:1 Mem:24.57M (Peak 24.57M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pedestal_Concreto_9
Fra:1 Mem:24.58M (Peak 24.58M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pilar_Eucalipto_9
Fra:1 Mem:24.59M (Peak 24.59M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pilar_Eucalipto_10
Fra:1 Mem:24.59M (Peak 24.59M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Piso_Quiosque_L
Fra:1 Mem:24.60M (Peak 24.60M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Piscina_Esmeralda_Casca
Fra:1 Mem:24.60M (Peak 24.60M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Piscina_Esmeralda_Agua
Fra:1 Mem:24.61M (Peak 24.61M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Oeste_1_a
Fra:1 Mem:24.61M (Peak 24.61M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Oeste_1_b
Fra:1 Mem:24.61M (Peak 24.61M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Oeste_2_a
Fra:1 Mem:24.62M (Peak 24.62M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Oeste_2_b
Fra:1 Mem:24.63M (Peak 24.63M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Leste_1_a
Fra:1 Mem:24.63M (Peak 24.63M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Leste_1_b
Fra:1 Mem:24.64M (Peak 24.64M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Leste_1_Porta
Fra:1 Mem:24.65M (Peak 24.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Leste_2_a
Fra:1 Mem:24.65M (Peak 24.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Leste_2_b
Fra:1 Mem:24.65M (Peak 24.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Leste_2_Porta
Fra:1 Mem:24.65M (Peak 24.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Norte
Fra:1 Mem:24.65M (Peak 24.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Sul
Fra:1 Mem:24.65M (Peak 24.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Parede_Central
Fra:1 Mem:24.65M (Peak 24.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Particao_Ducha
Fra:1 Mem:24.65M (Peak 24.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Banheiro_Piso
